Station Name,Street Address,City,EV DC Fast Count,Latitude,Longitude
"Sam's Club 6518 (Bristol, VA)",13249 Lee Highway,Bristol,4,36.635755,-82.127622
"Sheetz 407 (Wytheville, VA)",1340 North Fourth Street,Wytheville,4,36.959626,-81.095263
New River Valley Mall,782 New River Rd,Christiansburg,2,37.165292,-80.426151
First & Main Blacksburg,1490 S Main Street,Blacksburg,4,37.21468,-80.40111
Cave Spring Corners,3971 Brambleton Ave,Roanoke,4,37.233702,-80.007721
Sheetz #295,2703 Peters Creek Rd NW,Roanoke,4,37.3162173,-80.0032855
Brughs Mill Country Store,345 Brughs Mill Rd,Fincastle,4,37.455441,-79.837784
Historic Hampton Inn,401 E Nelson St,Lexington,1,37.779904,-79.439043
Whiteâ€™s Travel Center - Petro Raphine,30 Commerce Park Dr,Raphine,8,37.927398,-79.228109
Virginia International Raceway,1025 Raceplex Dr,Alton,2,36.554029,-79.197694
Target Lynchburg,4028 Wards Rd,Lynchburg,2,37.34578,-79.19088
"Walmart 1344 - Staunton, VA",1028 Richmond Ave C,Staunton,4,38.135043,-79.047163
"Walmart 2647 - Woodstock, VA",461 W. Reservoir Road,Woodstock,4,38.869631,-78.529625
University of Virginia - Central Grounds Garage,400 Emmet St S,Charlottesville,1,38.036315,-78.506591
Barracks Road Shopping Center,1117 Emmet St N,Charlottesville,4,38.054594,-78.49985
MILL CREEK MILL CREEK 1,1345 Parham Cir,Charlottesville,1,38.000268,-78.497725
MILL CREEK MILL CREEK 2,1345 Parham Cir,Charlottesville,1,38.000248,-78.497698
Southside Shopping Center,32 Mill Creek Dr,Charlottesville,2,38.00095,-78.49633
ALBEMARLE FAST MIDDLE 1,401 McIntire Rd,Charlottesville,1,38.03539,-78.48209
ALBEMARLE FAST MIDDLE 2,401 McIntire Rd,Charlottesville,1,38.035404,-78.48206
ALBEMARLE FAST MIDDLE 3,401 McIntire Rd,Charlottesville,1,38.035408,-78.48204
Water Street Garage,200 E Water St,Charlottesville,2,38.02968,-78.48105
"Sheetz 197 - Stephens City, VA",747 Fairfax Street,Stephens City,4,39.082164,-78.217188
"Sheetz 491 - Zion Crossroads, VA",135 Market Street,Zion Crossroads,4,37.979582,-78.210616
Jack Evans Chevrolet,125 S Royal Ave,Front Royal,1,38.916118,-78.193932
Tri-State Nissan,1230 Millwood Pike,Winchester,1,39.156514,-78.147297
